gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PBANKA_0100100,201.87119059632235,-2.298185476907593,0.2909329746640013,-7.8993640358634805,2.803300377411756e-15,7.596515925308529e-15
PBANKA_0100200,1626.9227111736166,-1.3303309784817374,0.12182327212332522,-10.92017112407722,9.23216996585584e-28,3.9623641905166096e-27
PBANKA_0101000,4546.956831352073,-1.8531674102383284,0.1264142348916842,-14.659483655667275,1.1716051414738787e-48,9.148831651023642e-48
PBANKA_0101300,2578.7064760907465,-1.6173425611806354,0.14406827992973378,-11.226222468745092,3.031645000339179e-29,1.3554166091872644e-28
PBANKA_0102500,1632.2559335567942,-1.3232656002620864,0.14663200945127244,-9.024397914302765,1.806862038311692e-19,5.847869213303124e-19
PBANKA_0102800,1864.4099923382012,-1.100042324485876,0.17541614185470197,-6.271043889433198,3.586355004748923e-10,7.619893829247712e-10
PBANKA_0103400,2808.607079350997,-1.2041981197219687,0.12258973806912817,-9.822992843356294,8.964190558778279e-23,3.248572156019227e-22
PBANKA_0103700,1114.8020770240637,-2.185294121897366,0.1727602593517176,-12.649287110922824,1.1289453415958122e-36,6.335390106708886e-36
PBANKA_0103800,2745.669997567798,-2.2244093010549926,0.1365647694835288,-16.28831000460394,1.1948560794893983e-59,1.2248464910463035e-58
PBANKA_0104900,10482.262309835354,-1.1564219077102469,0.11114956999255476,-10.404195965739756,2.3725042953828922e-25,9.449618501579229e-25
PBANKA_0105500,3681.921509097625,-1.8670493048666652,0.10354132638320238,-18.031923774636507,1.0941763630398949e-72,1.505516461016925e-71
PBANKA_0105600,17593.621044919015,-1.5096077820457499,0.14427454986240848,-10.463437823825686,1.2715661096613828e-25,5.092201712309319e-25
PBANKA_0106500,3563.6032931367713,-1.710391192621642,0.12812910785939638,-13.348966688338725,1.2010334162538081e-40,7.5280364921341e-40
PBANKA_0106600,3301.041140214203,-1.6982310614877187,0.1302000707610037,-13.04324223145013,6.944008063936788e-39,4.145460034456927e-38
PBANKA_0106700,5024.961886922539,-1.257296766676836,0.11299685440750512,-11.126829797779997,9.288027444825479e-29,4.092139488961637e-28
PBANKA_0107100,10363.700524870694,-1.6598999711129494,0.12579833725516634,-13.194927749689155,9.384480524642113e-40,5.728652049799325e-39
PBANKA_0107300,21492.86687701652,-2.422750628403172,0.10293944685405833,-23.53568726513568,1.7594255862751608e-122,5.487275192104229e-121
PBANKA_0107400,11075.479378354068,-1.0456871542955821,0.09221405533057167,-11.339780584933305,8.335318304209942e-30,3.802619502966699e-29
PBANKA_0108500,2237.199270868216,-1.7534738324583132,0.14317613485242714,-12.24697002936721,1.7439039458301278e-34,9.157275209430447e-34
PBANKA_0108700,12273.510156834755,-1.0631399775113852,0.09786782276596194,-10.863018584297569,1.7293641354446763e-27,7.373080232807212e-27
PBANKA_0108900,3328.0005634781687,-2.624520411353531,0.1376487628952257,-19.066792582445807,4.76659031201603e-81,7.78694404623317e-80
PBANKA_0109000,1273.080077460803,-1.7502500888134709,0.21453011027580446,-8.158528826388578,3.3912978801195055e-16,9.573021882114632e-16
PBANKA_0109100,24806.857607457976,-1.8590749623519174,0.10532893889006241,-17.650182200091617,1.0142845587516053e-69,1.3147376169611489e-68
PBANKA_0109500,4364.711571847146,-1.4235699048469928,0.11545255730496905,-12.330345365036992,6.217964708721651e-35,3.3123857547703537e-34
PBANKA_0110900,1926.3795880047562,-1.1313003405351887,0.12299023596946836,-9.198293926487203,3.6367782678361045e-20,1.2152507120964022e-19
PBANKA_0111300,6255.730948150856,-1.837683950229921,0.12037339210549494,-15.26652957174605,1.2779567878517897e-52,1.0942372096980548e-51
PBANKA_0200700,834.9112768891869,-2.694472512218804,0.168468741720879,-15.993901804543883,1.409214177184907e-57,1.3892368114546995e-56
PBANKA_0200751,21.98098676145875,-1.816266889419199,0.7626892339462988,-2.3813983580461593,0.01724704965829713,0.022440788253248297
PBANKA_0201000,1694.7875380560747,-2.108396092586519,0.15372702778220548,-13.715194543236814,8.234522596966765e-43,5.45364907129871e-42
PBANKA_0201340,4849.329130762878,-1.0969060135518454,0.12265294235046878,-8.943169177446586,3.781661606866223e-19,1.20647431053525e-18
PBANKA_0201400,534.9129582417706,-1.002414911352948,0.20198508523435385,-4.962816488107984,6.947822208134043e-07,1.2531893825116646e-06
PBANKA_0201450,45.47856729476701,-1.403743843610889,0.616304125444353,-2.2776804270112505,0.022745624726731025,0.029218418583064867
PBANKA_0201800,4017.9241500544413,-2.709931569051047,0.1228058960929424,-22.066787143510656,6.591193556398717e-108,1.6151562876775142e-106
PBANKA_0201900,3146.303587415409,-1.6663513814290756,0.16860637838372478,-9.883086259267667,4.929096201978142e-23,1.80150064313775e-22
PBANKA_0202000,6560.2706780740145,-1.7565007602128173,0.11569587554565591,-15.18205166717172,4.650062854015003e-52,3.922823515862493e-51
PBANKA_0202100,134.55970467903833,-1.6595702315580458,0.36213622648749,-4.582723600052136,4.5895852035541415e-06,7.880549034864736e-06
PBANKA_0202200,1552.4508795037812,-1.824462783539483,0.1229393244772671,-14.84035146034048,8.033397052759669e-50,6.3993593240714014e-49
PBANKA_0202300,3384.308337485441,-1.36289846515255,0.11111899234489049,-12.265216201046835,1.3924014488232031e-34,7.349023441686362e-34
PBANKA_0202600,334.06201386180265,-1.9972447081672449,0.24179759062161296,-8.259985978490233,1.456895805835751e-16,4.1627905701447944e-16
PBANKA_0204000,1661.345209929929,-3.192457925376925,0.14461460502674536,-22.07562593547522,5.42085095470184e-108,1.3411393756199842e-106
PBANKA_0204100,4358.622068726588,-1.1962850507036413,0.1285921238903844,-9.3029418483156,1.3661243239145647e-20,4.61897225418157e-20
PBANKA_0205300,2167.7128177073705,-1.4786129999720339,0.1153607757782327,-12.817294179908172,1.311995921553177e-37,7.568980955507453e-37
PBANKA_0205400,8898.380668977092,-1.2840591639423033,0.11326647915827762,-11.336621156449738,8.641692172579152e-30,3.938897069981605e-29
PBANKA_0205700,153.2111790199278,-2.5373449651460067,0.31964600567832196,-7.93798427032272,2.0549339115278805e-15,5.5921152346496415e-15
PBANKA_0206200,1668.5786636436303,-1.624901847634987,0.1596466164589965,-10.178116415341163,2.483213610988281e-24,9.507899733739356e-24
PBANKA_0206900,1348.5575718094165,-1.019843002959759,0.1893269221663621,-5.386677136512154,7.17721921087646e-08,1.369446424144244e-07
PBANKA_0207700,3786.577373686591,-1.0960913532002083,0.11545348864266573,-9.4937915353313,2.2278031374822883e-21,7.740901381150476e-21
