gene,260Sch-1_S13,260Sch-2_S14,260Sch-3_S15,820LT-1_S1,820LT-2_S2,820LT-3_S3,820Sch-1_S10,820Sch-2_S11,820Sch-3_S12,G260-1_S4,G260-2_S5,G260-3_S6,G260sch-1-23468787,G260sch-2-23468788,G260sch-3-23468793
PBANKA_0000101,0,0,0,0,0,1,2,1,0,0,0,1,2,2,3
PBANKA_0000201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0000301,2,1,1,7,6,14,8,11,14,0,4,2,5,9,1
PBANKA_0000401,12,7,12,11,1,9,48,58,41,11,14,9,103,43,52
PBANKA_0000600,6,5,12,37,11,39,20,21,19,9,11,15,2,1,0
PBANKA_0000701,2,5,5,2,1,12,5,7,6,5,4,7,0,1,0
PBANKA_0000801,3,2,1,2,1,3,3,3,0,2,3,0,0,1,0
PBANKA_0000901,16,6,10,14,7,13,35,39,31,8,7,9,27,9,12
PBANKA_0001001,309,280,256,175,83,176,187,287,169,375,515,432,90,62,43
PBANKA_0001101,1,0,2,0,0,0,2,0,0,0,2,1,0,1,1
PBANKA_0001200,0,0,0,2,0,1,3,3,4,0,1,0,0,0,0
PBANKA_0001201,38,26,29,18,8,23,13,10,11,53,72,74,4,2,4
PBANKA_0001301,17,11,19,8,2,12,4,3,4,62,44,48,3,5,2
PBANKA_0001401,30,28,34,12,0,13,6,8,3,58,67,51,2,0,0
PBANKA_0001501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0001601,0,0,0,1,0,0,0,0,0,2,0,2,1,0,2
PBANKA_0006300,127,133,131,48,25,56,43,51,19,222,245,171,32,21,17
PBANKA_0006401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0006501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0006600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0006701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0006800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0006900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007501,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PBANKA_0007601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0007701,255,207,247,17,15,17,123,167,123,18,20,21,144,115,172
PBANKA_0007801,8,4,5,8,5,6,8,4,2,6,5,2,4,3,1
PBANKA_0007901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008101,19,16,18,72,36,87,380,479,412,17,34,18,133,66,109
PBANKA_0008201,1,12,6,7,6,22,10,7,2,8,8,8,3,1,1
PBANKA_0008301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008401,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBANKA_0008701,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
PBANKA_0008801,0,1,0,0,1,1,0,0,0,3,1,1,0,0,0
PBANKA_0008901,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
PBANKA_0009101,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
PBANKA_0100021,439,544,424,201,124,204,3744,3950,3024,201,276,249,3984,2351,2385
PBANKA_0100041,185,99,138,26,2,21,83,70,84,22,18,20,68,48,75
PBANKA_0100061,983,1017,722,430,214,407,4318,4290,3503,500,631,545,8559,5122,5469
PBANKA_0100081,3,0,1,1,1,1,1,1,0,0,0,0,1,0,2
PBANKA_0100100,138,112,124,297,157,325,94,133,63,201,213,211,29,33,39
PBANKA_0100200,1833,1343,1566,2183,983,2353,1454,1413,1017,1974,2391,2111,1112,766,675
PBANKA_0100300,14,19,7,10,3,8,29,33,27,8,10,12,31,17,18
PBANKA_0100400,5070,5136,3687,551,159,503,22848,23441,19124,347,488,455,60936,29780,42445
PBANKA_0100500,9269,9173,8180,5937,3117,7922,19623,21852,16854,7519,9523,7356,20119,10854,13653
PBANKA_0100600,16054,17358,16591,4760,2462,6211,30037,27187,19773,5347,5579,4779,33301,23500,38758
PBANKA_0100700,60758,60697,51992,42001,23035,58426,194375,198581,170536,46835,54327,46962,373761,182552,274945
PBANKA_0100800,3784,3126,3198,3277,1547,2843,10881,13237,10613,2857,3319,2836,2850,2125,2979
PBANKA_0100900,10543,10035,8866,8871,4305,10328,29908,37556,28068,8884,11539,9049,43847,24813,26139
PBANKA_0101000,6000,5083,5234,5631,3368,7532,2889,3051,2289,5588,6481,5886,1362,1302,1878
PBANKA_0101100,576,327,481,283,144,282,708,585,521,128,178,125,89,98,193
PBANKA_0101200,7052,5686,5636,4996,2541,6808,4580,4558,3612,4440,5457,4258,1787,1878,3162
PBANKA_0101300,3343,2884,2791,3228,1628,4416,2039,1856,1413,3863,4680,3599,659,752,985
PBANKA_0101400,20278,18610,18444,11441,4948,11849,23749,22411,17194,10582,12765,10435,11529,11226,14565
PBANKA_0101500,907,774,849,936,498,509,2468,2690,1671,557,640,522,383,382,431
PBANKA_0101600,1985,1568,1859,1226,457,1419,1610,1425,1020,1226,1644,1373,419,451,648
PBANKA_0101700,5900,4792,5603,3608,1768,4203,4918,5102,3670,3469,3833,3498,2306,2083,2600
PBANKA_0101800,5862,5170,5263,5824,3268,6217,7694,8626,5680,6111,6812,6218,2133,1734,2047
PBANKA_0101900,9226,7859,8737,3817,1644,3785,7792,8280,5695,2656,3543,2960,2760,2727,3512
PBANKA_0102000,6414,5160,5476,4293,1988,5453,4452,4175,3364,2839,3508,2858,1770,1561,2359
PBANKA_0102100,5104,4495,4380,2702,1687,3298,5705,5859,4161,3386,4414,3643,3435,2285,2856
PBANKA_0102200,4647,3727,3868,5283,2117,5043,5349,5608,3811,4919,5694,5012,2059,1227,1104
PBANKA_0102300,5010,3711,4012,2911,1096,2969,2881,2715,2109,881,692,792,984,1054,1584
PBANKA_0102400,2255,1474,1661,1732,483,992,1770,2020,1582,437,575,387,362,357,540
PBANKA_0102500,1793,1336,1468,2231,910,2475,1516,1363,1029,1724,2085,1517,534,354,553
PBANKA_0102600,22961,21933,21972,3310,1761,3775,24723,24289,18049,2615,3401,2638,14328,12633,15637
PBANKA_0102700,180,145,122,226,131,116,625,1366,1001,159,225,215,79,70,72
PBANKA_0102800,2972,2273,2565,2865,941,2345,1888,1776,1310,2099,2559,2247,698,659,858
PBANKA_0102900,6425,6949,6622,283,153,80,20599,20964,14118,101,148,188,9184,8750,9675
PBANKA_0103000,1326,1141,1164,688,393,968,1640,1480,972,685,869,678,564,453,543
PBANKA_0103100,3074,2504,2491,2230,820,2380,2471,2132,1578,1911,2157,1813,680,615,595
PBANKA_0103200,52,54,59,428,253,32,2120,1904,1081,28,36,28,69,71,66
PBANKA_0103300,38976,33379,33211,34865,14758,35465,37270,45601,33829,36845,44893,37596,35107,20437,23405
PBANKA_0103400,3864,3253,3310,3227,1824,4065,2499,2549,2028,2939,3443,3034,1310,1019,1512
PBANKA_0103500,1069,981,1026,582,249,509,1221,1163,815,417,508,494,535,428,348
PBANKA_0103700,1128,994,994,1403,895,1911,659,601,427,1483,1568,1476,287,260,370
