gene,ERR022872,ERR022873,ERR022874,ERR022875,ERR022876,ERR022877,ERR022878,ERR022879,ERR022880,ERR022881,ERR022882,ERR022883
gene:Smp_000020,3210,2088,1110,2285,4027,5330,3281,9008,8140,7242,6129,6792
gene:Smp_000030,12471,11096,5521,9389,18769,23578,17393,26427,23891,23569,21432,22569
gene:Smp_000040,2613,6520,1253,1883,4733,4596,3082,12887,11370,10838,9726,10749
gene:Smp_000050,921,674,933,213,3709,1575,1104,18191,8154,6218,5800,7325
gene:Smp_000070,1417,951,435,647,1533,2135,1618,2030,2333,2397,2197,2459
gene:Smp_000075,0,0,4,0,4,22,0,0,4,2,1,5
gene:Smp_000080,0,0,0,0,1,14,4,223,43,19,40,21
gene:Smp_000100,23704,5337,8419,15485,29972,53937,37706,37590,12204,10429,8796,11065
gene:Smp_000110,2378,736,829,1655,2855,2953,2191,4338,4081,3980,3416,3516
gene:Smp_000130,3759,3104,1726,2400,6581,5593,3068,20793,9464,9354,10660,10054
gene:Smp_000150,5702,3414,2651,4774,9337,7566,5416,12552,4869,3637,3382,4185
gene:Smp_000160,54,73,48,30,193,201,111,914,2373,2671,2184,2234
gene:Smp_000180,4,52,2,11,0,11,1,18,24,35,11,41
gene:Smp_000190,291,931,208,122,653,282,245,952,2086,1699,1565,1814
gene:Smp_000200,493,710,428,421,1869,2182,1783,5981,2120,1309,1431,1775
gene:Smp_000230,2226,1695,1263,2197,4497,4810,3522,7998,6192,4925,4413,4671
gene:Smp_000240,9941,9842,3214,5478,10805,10777,7593,11147,18160,19635,15668,18126
gene:Smp_000250,1,4,13,3,54,16,2,31,8,7,5,2
gene:Smp_000260,7803,19842,3987,10177,16040,22514,15420,29228,38904,31333,24510,31525
gene:Smp_000270,4,240,0,0,2,40,10,0,8,5,0,1
gene:Smp_000280,1,584,3,0,3,4,0,0,0,0,0,0
gene:Smp_000300,191,183,74,229,274,378,273,367,668,528,337,573
gene:Smp_000310,1316,2546,461,1009,2065,1791,1332,4489,2845,3607,2775,3069
gene:Smp_000320,1038,1021,115,782,397,1888,1024,492,895,1095,1211,1243
gene:Smp_000340,171,306,64,193,267,401,289,1143,297,266,341,267
gene:Smp_000370,526,1211,268,518,1026,1301,1334,2551,1699,2049,1215,1631
gene:Smp_000390,0,909,0,0,2,0,0,0,0,0,0,0
gene:Smp_000420,2,1845,0,0,4,3,4,0,1,0,0,1
gene:Smp_000430,0,1410,0,0,4,8,0,0,0,0,0,0
gene:Smp_000470,730,776,448,701,1768,1031,915,2711,2131,1680,1376,1809
gene:Smp_000480,1937,1887,931,1184,3563,3476,2471,8541,11365,9166,8655,10487
gene:Smp_000500,2,4,2,0,12,16,20,0,0,0,0,1
gene:Smp_000510,381,660,135,205,558,648,449,774,1562,1012,892,993
gene:Smp_000560,0,2,0,0,0,1,0,0,0,0,2,0
gene:Smp_000580,38,9,4,63,27,190,160,107,209,240,165,167
gene:Smp_000590,905,938,404,651,1433,1887,1336,2507,1407,1489,1228,1314
gene:Smp_000600,1706,1402,678,1031,2494,2657,2109,3250,3592,3562,3170,3430
gene:Smp_000620,19,14,45,6,173,67,38,629,384,257,196,237
gene:Smp_000630,92,173,71,76,281,61,82,726,357,346,361,422
gene:Smp_000640,2025,1297,769,1221,2778,3475,2861,3077,2234,1090,1385,1766
gene:Smp_000650,1783,1335,1157,1634,4096,3472,2538,9569,5600,5429,4285,4582
gene:Smp_000660,10656,6906,3465,9570,11973,19773,14769,10978,9471,7058,8881,10238
gene:Smp_000670,1486,2390,710,1215,3017,3744,2433,7207,7850,7468,7101,7579
gene:Smp_000680,285,652,384,366,1288,1019,771,1099,2524,1950,1990,2301
gene:Smp_000690,11,16,44,10,204,35,35,196,48,36,80,66
gene:Smp_000700,461,699,346,424,1350,1275,900,4844,2855,2783,2076,2485
gene:Smp_000710,866,1292,463,678,1513,2072,1483,4531,3281,3151,2832,3043
gene:Smp_000720,3922,3805,2149,3269,7369,8251,5673,16161,12533,13225,10084,11497
gene:Smp_000740,6822,10404,3591,6335,12415,15333,10521,10213,9206,10333,8570,9179
gene:Smp_000755,1843,451,1022,692,5064,5246,3671,16078,11678,7840,6400,8223
gene:Smp_000770,0,0,1,0,4,0,0,0,0,0,0,0
gene:Smp_000790,2408,1192,620,3177,2347,4474,2835,3736,3271,3004,2623,3116
gene:Smp_000810,376,487,180,185,620,499,403,957,1425,1445,1213,1474
gene:Smp_000820,820,926,752,385,3997,3953,3205,4445,3135,2539,2658,2849
gene:Smp_000830,11,2,12,0,53,22,23,373,428,275,179,241
gene:Smp_000850,419,1617,193,170,706,738,796,2134,1780,1997,2318,2357
