accession,condition,category,timepoint
260Sch-1_S13,Alba3 knock out,Alba3 knock out 22-24 hours post invasion,24
260Sch-2_S14,Alba3 knock out,Alba3 knock out 22-24 hours post invasion,24
260Sch-3_S15,Alba3 knock out,Alba3 knock out 22-24 hours post invasion,24
820LT-1_S1,wildtype,wildtype 16hrs post invasion,16
820LT-2_S2,wildtype,wildtype 16hrs post invasion,16
820LT-3_S3,wildtype,wildtype 16hrs post invasion,16
820Sch-1_S10,wildtype,wildtype 22-24 hrs post invasion,24
820Sch-2_S11,wildtype,wildtype 22-24 hrs post invasion,24
820Sch-3_S12,wildtype,wildtype 22-24 hrs post invasion,24
G260-1_S4,Alba3 knock out,Alba3 knock out 16 hours post invasion,16
G260-2_S5,Alba3 knock out,Alba3 knock out 16 hours post invasion,16
G260-3_S6,Alba3 knock out,Alba3 knock out 16 hours post invasion,16
G260sch-1-23468787,Alba3 knock out,Alba3 knock out 36 hours post invasion,36
G260sch-2-23468788,Alba3 knock out,Alba3 knock out 36 hours post invasion,36
G260sch-3-23468793,Alba3 knock out,Alba3 knock out 36 hours post invasion,36
